,input_img,matching_imgs
0,face_image_97.jpg,"['face_image_10.jpg', 'face_image_102.jpg', 'face_image_103.jpg', 'face_image_107.jpg', 'face_image_111.jpg', 'face_image_113.jpg', 'face_image_12.jpg', 'face_image_13.jpg', 'face_image_132.jpg', 'face_image_136.jpg', 'face_image_142.jpg', 'face_image_170.jpg', 'face_image_178.jpg', 'face_image_183.jpg', 'face_image_191.jpg', 'face_image_26.jpg', 'face_image_34.jpg', 'face_image_39.jpg', 'face_image_42.jpg', 'face_image_43.jpg', 'face_image_53.jpg', 'face_image_59.jpg', 'face_image_63.jpg', 'face_image_64.jpg', 'face_image_65.jpg', 'face_image_68.jpg', 'face_image_72.jpg', 'face_image_73.jpg', 'face_image_75.jpg', 'face_image_85.jpg', 'face_image_9.jpg', 'face_image_91.jpg', 'face_image_94.jpg', 'face_image_97.jpg']"
1,face_image_600.jpg,no matches
2,face_image_126.jpg,"['face_image_104.jpg', 'face_image_114.jpg', 'face_image_120.jpg', 'face_image_123.jpg', 'face_image_139.jpg', 'face_image_140.jpg', 'face_image_152.jpg', 'face_image_166.jpg', 'face_image_168.jpg', 'face_image_169.jpg', 'face_image_171.jpg', 'face_image_174.jpg', 'face_image_182.jpg', 'face_image_189.jpg', 'face_image_193.jpg', 'face_image_195.jpg', 'face_image_21.jpg', 'face_image_24.jpg', 'face_image_25.jpg', 'face_image_3.jpg', 'face_image_35.jpg', 'face_image_49.jpg', 'face_image_51.jpg', 'face_image_71.jpg', 'face_image_78.jpg']"
3,face_image_119.jpg,"['face_image_10.jpg', 'face_image_102.jpg', 'face_image_103.jpg', 'face_image_107.jpg', 'face_image_111.jpg', 'face_image_113.jpg', 'face_image_12.jpg', 'face_image_13.jpg', 'face_image_132.jpg', 'face_image_136.jpg', 'face_image_142.jpg', 'face_image_170.jpg', 'face_image_178.jpg', 'face_image_183.jpg', 'face_image_191.jpg', 'face_image_26.jpg', 'face_image_34.jpg', 'face_image_39.jpg', 'face_image_42.jpg', 'face_image_43.jpg', 'face_image_53.jpg', 'face_image_59.jpg', 'face_image_63.jpg', 'face_image_64.jpg', 'face_image_65.jpg', 'face_image_68.jpg', 'face_image_72.jpg', 'face_image_73.jpg', 'face_image_75.jpg', 'face_image_85.jpg', 'face_image_9.jpg', 'face_image_91.jpg', 'face_image_94.jpg', 'face_image_97.jpg']"
4,face_image_116.jpg,"['face_image_1.jpg', 'face_image_11.jpg', 'face_image_116.jpg', 'face_image_14.jpg', 'face_image_148.jpg', 'face_image_150.jpg', 'face_image_16.jpg', 'face_image_162.jpg', 'face_image_164.jpg', 'face_image_172.jpg', 'face_image_177.jpg', 'face_image_184.jpg', 'face_image_196.jpg', 'face_image_2.jpg', 'face_image_23.jpg', 'face_image_29.jpg', 'face_image_36.jpg', 'face_image_46.jpg', 'face_image_48.jpg', 'face_image_5.jpg', 'face_image_55.jpg', 'face_image_56.jpg', 'face_image_61.jpg', 'face_image_66.jpg', 'face_image_79.jpg', 'face_image_88.jpg']"
5,face_image_109.jpg,"['face_image_104.jpg', 'face_image_114.jpg', 'face_image_120.jpg', 'face_image_123.jpg', 'face_image_139.jpg', 'face_image_140.jpg', 'face_image_152.jpg', 'face_image_166.jpg', 'face_image_168.jpg', 'face_image_169.jpg', 'face_image_171.jpg', 'face_image_174.jpg', 'face_image_182.jpg', 'face_image_189.jpg', 'face_image_193.jpg', 'face_image_195.jpg', 'face_image_21.jpg', 'face_image_24.jpg', 'face_image_25.jpg', 'face_image_3.jpg', 'face_image_35.jpg', 'face_image_49.jpg', 'face_image_51.jpg', 'face_image_71.jpg', 'face_image_78.jpg']"
6,face_image_107.jpg,"['face_image_109.jpg', 'face_image_112.jpg', 'face_image_115.jpg', 'face_image_117.jpg', 'face_image_124.jpg', 'face_image_125.jpg', 'face_image_130.jpg', 'face_image_131.jpg', 'face_image_133.jpg', 'face_image_138.jpg', 'face_image_143.jpg', 'face_image_144.jpg', 'face_image_146.jpg', 'face_image_149.jpg', 'face_image_15.jpg', 'face_image_154.jpg', 'face_image_157.jpg', 'face_image_158.jpg', 'face_image_160.jpg', 'face_image_175.jpg', 'face_image_176.jpg', 'face_image_179.jpg', 'face_image_187.jpg', 'face_image_188.jpg', 'face_image_19.jpg', 'face_image_190.jpg', 'face_image_22.jpg', 'face_image_30.jpg', 'face_image_31.jpg', 'face_image_38.jpg', 'face_image_4.jpg', 'face_image_41.jpg', 'face_image_47.jpg', 'face_image_50.jpg', 'face_image_58.jpg', 'face_image_6.jpg', 'face_image_69.jpg', 'face_image_7.jpg', 'face_image_70.jpg', 'face_image_81.jpg', 'face_image_87.jpg', 'face_image_95.jpg', 'face_image_96.jpg']"
